,Title,Published_date,Views,Likes,Comments,Month
290,QR Code In 10 lines of Python Code | Generate and Access QR Code Easily Using Python,2021-02-09,120132,2348,116,Feb
291,"Simple Explanation of LSTM | Deep Learning Tutorial 36 (Tensorflow, Keras & Python)",2021-02-06,305010,7011,229,Feb
292,Power BI Data Analytics Project: Personal Finance Dashboard,2021-01-30,111166,2475,186,Jan
293,Instagram automation with 10 lines of python code | Python Instagram BOT,2021-01-27,270085,6181,634,Jan
294,"Vanishing and exploding gradients | Deep Learning Tutorial 35 (Tensorflow, Keras & Python)",2021-01-23,63715,1601,54,Jan
295,Parameters vs hyperparameters in machine learning,2021-01-21,31409,757,31,Jan
296,He got 5 internships and 2 job offers | Interview with Zomato machine learning engineer,2021-01-17,7765,270,56,Jan
297,Not getting any interview calls? Do this. |  How to get interview calls?,2021-01-16,44611,1402,127,Jan
298,Should I pursue data analyst masters in USA?,2021-01-15,32195,613,90,Jan
299,Types of RNN | Recurrent Neural Network Types | Deep Learning Tutorial 34 (Tensorflow & Python),2021-01-15,46850,989,18,Jan
300,"What is Recurrent Neural Network (RNN)? Deep Learning Tutorial 33 (Tensorflow, Keras & Python)",2021-01-12,212294,4254,127,Jan
301,Do this to get a data science job abroad,2021-01-10,81935,2592,167,Jan
302,"Going to USA for data science Or computer science masters, good idea?",2021-01-08,134273,5290,400,Jan
303,Object detection using YOLO v4 and pre trained model | Deep Learning Tutorial 32 (Tensorflow),2021-01-07,149939,2713,96,Jan
304,Bitcoin mining with 15 lines of python code Python Bitcoin Tutorial,2021-01-03,1089306,31678,2835,Jan
305,Data Scientist vs Machine Learning Engineer | DS vs ML,2021-01-02,110022,3630,159,Jan
306,Codebasics Hindi Channel | Codebasics हिंदी,2021-01-01,4048,193,35,Jan
307,"Skillbasics.com, a website for your tech learning! Wish you all a very happy new year !",2020-12-31,6037,462,89,Dec
308,Build language translator with 3 lines of python code,2020-12-30,77143,1711,164,Dec
309,Top 5 Programming Languages To Learn in 2021,2020-12-27,98143,1403,269,Dec
310,Can anyone learn coding? | How to learn coding faster?,2020-12-26,9672,550,102,Dec
311,"What is YOLO algorithm? | Deep Learning Tutorial 31 (Tensorflow, Keras & Python)",2020-12-25,450171,9884,237,Dec
312,Participate in codebasics contests and win prizes!,2020-12-24,2341,169,38,Dec
313,Life of a programmer in one word,2020-12-24,2770,152,29,Dec
314,"Sliding Window Object Detection | Deep Learning Tutorial 30 (Tensorflow, Keras & Python)",2020-12-23,38052,826,30,Dec
315,Tableau Project For Beginners | Sales Insights : 6 - Feedback From Stakeholders & Profit Analysis,2020-12-21,43478,943,91,Dec
316,My YouTube setup (hardware and software) | Youtube Setup For Coding Channel,2020-12-20,10859,298,39,Dec
317,Tableau Project For Beginners |  Sales Insights :  5 - Build Tableau Dashboard,2020-12-19,80264,1750,112,Dec
318,Tableau Project For Beginners | Sales Insights : 4 - Data Cleaning & ETL in Tableau,2020-12-18,68073,1017,86,Dec
319,Tableau Project For Beginners | Sales Insights : 3 - Data Analysis Using SQL,2020-12-17,103125,1497,144,Dec
320,Tableau Project For Beginners | Sales Insights : 2 - Data Discovery,2020-12-16,71435,959,35,Dec
321,Tableau Project For Beginners | Sales Insights : 1 - Problem Statement,2020-12-15,140211,2395,100,Dec
322,"200k Subscribers, Big announcement and Channel Update",2020-12-12,5313,358,86,Dec
323,Data science career tips from H20.ai machine learning engineer and a Kaggle expert,2020-12-11,10610,272,27,Dec
324,What is GPT3? | GPT3 demo,2020-12-08,24218,681,55,Dec
325,"Popular datasets for computer vision: ImageNet, Coco and Google Open images | Deep Learning 29",2020-12-07,47161,990,50,Dec
326,Oyo rooms data analyst will teach you how to get a data analyst internship,2020-12-06,58070,2092,114,Dec
327,"Learn coding in 3 months, step by step coding roadmap | How to learn to code for absolute beginners?",2020-12-01,565331,22288,726,Dec
328,Image classification vs Object detection vs Image Segmentation | Deep Learning Tutorial 28,2020-11-30,74708,1647,38,Nov
329,He earned 1.5 lakh rs a month as a freelancer | Live session,2020-11-29,13764,520,32,Nov
330,"Project announcement to help blind people using Computer Vision, NLP & IOT",2020-11-28,4864,250,23,Nov
331,How to get software engineering internship | How to get programming Job,2020-11-28,23882,629,68,Nov
332,Selection Sort in python - Data Structures & Algorithms Tutorial Python #19,2020-11-27,36221,527,69,Nov
333,"Machine Learning Tutorial Python - 17: L1 and L2 Regularization | Lasso, Ridge Regression",2020-11-26,187775,4210,163,Nov
334,"AI will kill all jobs in this world, really?",2020-11-24,22126,867,168,Nov
335,"Transfer Learning | Deep Learning Tutorial 27 (Tensorflow, Keras & Python)",2020-11-23,127212,2723,129,Nov
336,He became top rated freelancer in first 4 months on upwork | Data analyst freelancer,2020-11-22,360786,10439,508,Nov
337,Grocery Store Application - 6. List orders | Python project tutorial,2020-11-21,23340,267,19,Nov
338,Grocery Store Application - 5. Insert order functionality | Python project tutorial,2020-11-20,14585,130,17,Nov
339,Convert python file to exe in less than 2 minutes (.py to .exe),2020-11-20,56043,435,48,Nov
340,Grocery Store Application - 4. Products Frontend | Python project tutorial,2020-11-19,29953,326,38,Nov
341,Grocery Store Application - 3. Products Backend | Python project tutorial,2020-11-18,51746,710,77,Nov
342,Grocery Store Application - 2. Database Design | Python project tutorial,2020-11-17,72654,925,59,Nov
343,Grocery Store Application - 1. Overview | Python project tutorial,2020-11-16,105194,1755,66,Nov
344,Do you need help with live mock coding interviews?,2020-11-07,2849,116,23,Nov
345,Snake and apple game in python pygame - 1. Intro and create surface | Python project tutorial,2020-11-07,38646,709,67,Nov
346,Snake and apple game in python pygame - 2. Converting into OOP | Python project tutorial,2020-11-07,8071,170,13,Nov
347,Snake and apple game in python pygame - 3. Moving block with timer | Python project tutorial,2020-11-07,5268,93,3,Nov
348,Snake and apple game in python pygame - 4. Draw snake and apple | Python project tutorial,2020-11-07,4705,72,13,Nov
349,"Snake and apple game in python pygame - 5. Snake eats apple, find score | Python project tutorial",2020-11-07,9405,80,7,Nov
350,Snake and apple game in python pygame - 6. Game over logic | Python project tutorial,2020-11-07,3736,76,6,Nov
351,"Snake and apple game in python pygame - 7. Add background music,image | Python project tutorial",2020-11-07,6305,61,14,Nov
352,Snake and apple game in python pygame - 8. Convert python to exe | Python project tutorial,2020-11-07,11453,218,16,Nov
353,Organic Farm Visit in my Village,2020-11-04,7122,332,40,Nov
354,"Data augmentation to address overfitting | Deep Learning Tutorial 26 (Tensorflow, Keras & Python)",2020-11-01,98294,1937,122,Nov
355,Shell Sort - Data Structures & Algorithms Tutorial Python #18,2020-10-31,33251,545,38,Oct
356,Noise removal using AI: NVIDIA broadcast,2020-10-30,28726,532,90,Oct
357,"Convolution padding and stride | Deep Learning Tutorial 25 (Tensorflow2.0, Keras & Python)",2020-10-26,64097,1834,48,Oct
358,How to get a job after learning data science skills,2020-10-25,44344,1678,104,Oct
359,Image classification using CNN (CIFAR10 dataset) | Deep Learning Tutorial 24 (Tensorflow & Python),2020-10-24,366990,6011,283,Oct
360,Merge Sort - Data Structures & Algorithms Tutorial Python #17,2020-10-21,82591,1388,113,Oct
361,Simple explanation of convolutional neural network | Deep Learning Tutorial 23 (Tensorflow & Python),2020-10-14,688492,15551,635,Oct
362,How to ask technical questions in a right way?,2020-10-11,2031,138,46,Oct
363,"Applications of computer vision | Deep Learning Tutorial 22 (Tensorflow2.0, Keras & Python)",2020-10-08,69098,2249,60,Oct
364,How to become industry ready when you are in college,2020-10-06,6542,455,70,Oct
365,Surprise announcement for you all (MUST watch),2020-10-04,6451,306,74,Oct
366,How to build logic in programming | Tips to improving logic building in programming,2020-10-03,44292,1706,120,Oct
367,Insertion Sort - Data Structures & Algorithms Tutorial Python #16,2020-10-02,57473,907,75,Oct
368,Announcing Discord Server For Codebasics,2020-10-01,4034,229,50,Oct
369,Handling imbalanced dataset in machine learning | Deep Learning Tutorial 21 (Tensorflow2.0 & Python),2020-09-24,135706,3032,196,Sep
370,"Dropout Regularization | Deep Learning Tutorial 20 (Tensorflow2.0, Keras & Python)",2020-09-23,62417,2002,71,Sep
371,How to earn money by coding | Make money by programming,2020-09-22,152616,5272,264,Sep
372,Quick Sort - Data Structures & Algorithms Tutorial Python #15,2020-09-20,80703,1376,98,Sep
373,Bubble Sort - Data Structures & Algorithms Tutorial Python #14,2020-09-18,63878,1465,79,Sep
374,Binary Search - Data Structures & Algorithms Tutorial Python #13,2020-09-17,58108,1038,84,Sep
375,Complete python roadmap | How to become an expert in python programming,2020-09-13,857527,29984,1033,Sep
376,"Precision, Recall, F1 score, True Positive|Deep Learning Tutorial 19 (Tensorflow2.0, Keras & Python)",2020-09-08,183701,4479,218,Sep
377,"Customer churn prediction using ANN | Deep Learning Tutorial 18 (Tensorflow2.0, Keras & Python)",2020-09-07,129743,2566,183,Sep
378,Data Analyst Career Guidance Live Q&A,2020-09-06,4829,238,21,Sep
379,How important is programming and machine learning for a Data Analyst?,2020-09-05,22991,933,72,Sep
380,codebasics Live Stream,2020-09-02,0,0,0,Sep
381,8 Skills to get a data analyst job | Skills to become successful data analyst,2020-09-02,632898,22520,741,Sep
382,"GPU bench-marking with image classification | Deep Learning Tutorial 17 (Tensorflow2.0, Python)",2020-08-31,51887,1254,86,Aug
383,Data Science In Biology | How a biologist became a data scientist,2020-08-30,11047,350,38,Aug
384,"Tensorboard Introduction | Deep Learning Tutorial 16 (Tensorflow2.0, Keras & Python)",2020-08-29,63869,1442,60,Aug
385,How to pass a coding interview |Interview tips for software developer |Cracking the coding interview,2020-08-26,100380,3066,119,Aug
386,"Chain Rule | Deep Learning Tutorial 15 (Tensorflow2.0, Keras & Python)",2020-08-24,53486,2023,93,Aug
387,"Interview with a siemens data scientist, TEDx speaker | Vijay Pravin Maharajan",2020-08-23,6155,238,25,Aug
388,Graph Introduction - Data Structures & Algorithms Tutorials In Python #12,2020-08-22,140377,2590,173,Aug
389,Building 3500$ Deep Learning Workstation | Deep Learning PC build From Scratch,2020-08-20,31660,722,86,Aug
390,Stochastic Gradient Descent vs Batch Gradient Descent vs Mini Batch Gradient Descent |DL Tutorial 14,2020-08-18,114456,3076,216,Aug
391,"Implement Neural Network In Python | Deep Learning Tutorial 13 (Tensorflow2.0, Keras & Python)",2020-08-15,73422,1357,74,Aug
392,"Loss or Cost Function | Deep Learning Tutorial 11 (Tensorflow Tutorial, Keras & Python)",2020-08-14,103526,2454,90,Aug
393,"Gradient Descent For Neural Network | Deep Learning Tutorial 12 (Tensorflow2.0, Keras & Python)",2020-08-14,124916,3236,298,Aug
394,"Matrix Basics | Deep Learning Tutorial 10 (Tensorflow Tutorial, Keras & Python)",2020-08-04,76048,1991,60,Aug
395,"Derivatives | Deep Learning Tutorial 9 (Tensorflow Tutorial, Keras & Python)",2020-08-01,77318,2332,164,Aug
396,NVIDIA TITAN RTX UNBOXING,2020-07-31,4680,173,49,Jul
397,Data science career tips from Ken Jee (Data scientist and a youtuber),2020-07-21,3947,167,21,Jul
398,"Activation Functions | Deep Learning Tutorial 8 (Tensorflow Tutorial, Keras & Python)",2020-07-20,164427,5745,160,Jul
399,Neural Network For Handwritten Digits Classification | Deep Learning Tutorial 7 (Tensorflow2.0),2020-07-18,293941,5155,438,Jul
400,"Pytorch vs Tensorflow vs Keras | Deep Learning Tutorial 6 (Tensorflow Tutorial, Keras & Python)",2020-07-17,158153,2445,48,Jul
401,"Install tensorflow 2.0 | Deep Learning Tutorial 5 (Tensorflow Tutorial, Keras & Python)",2020-07-16,190336,1667,157,Jul
402,"Neural Network Simply Explained | Deep Learning Tutorial 4 (Tensorflow2.0, Keras & Python)",2020-07-14,267525,10333,953,Jul
403,"What is a neuron? | Deep Learning Tutorial 3 (Tensorflow Tutorial, Keras & Python)",2020-07-13,200605,8769,394,Jul
404,"Why deep learning is becoming so popular? | Deep Learning Tutorial 2 (Tensorflow2.0, Keras & Python)",2020-07-12,157410,2368,56,Jul
405,"Introduction | Deep Learning Tutorial 1 (Tensorflow Tutorial, Keras & Python)",2020-07-11,478919,6451,193,Jul
406,Power BI Project For Beginners | Sales Insights Data Analysis Project - 9 Changes Based On Feedback,2020-07-06,83021,1293,237,Jul
407,Conversation with my brother | Young Entrepreneur and CEO,2020-07-05,3110,155,34,Jul
408,Power BI Project For Beginners |  Sales Insights Data Analysis Project - 8 - Dashboard in mobile app,2020-07-01,41880,812,37,Jul
409,Power BI Project For Beginners |  Sales Insights Data Analysis Project - 7 - Publish A Report,2020-06-30,55105,809,48,Jun
410,Is data science a hype? | Is data science a bubble?,2020-06-29,26388,790,122,Jun
411,Power BI Project For Beginners | Sales Insights Data Analysis Project - 6 - Stakeholders' Feedback,2020-06-28,52211,1034,66,Jun
412,Power BI Project For Beginners | Sales Insights Data Analysis Project - 5 - Build Dashboard,2020-06-27,136631,2048,274,Jun
413,Power BI Project For Beginners |  Sales Insights Data Analysis Project - 4 - Data Cleaning & ETL,2020-06-26,168673,3327,313,Jun
414,Power BI Project For Beginners | Sales Insights Data Analysis Project - 3 - Data Analysis Using SQL,2020-06-25,238114,4403,354,Jun
415,Power BI Project For Beginners | Sales Insights Data Analysis Project - 2 - Data Discovery,2020-06-24,201793,2498,93,Jun
416,Power BI Project For Beginners | Sales Insights Data Analysis Project - 1 - Problem Statement,2020-06-23,436065,6381,232,Jun
417,Artificial Intelligence (AI) vs Machine Learning vs Deep Learning vs Data Science,2020-06-22,73868,1915,136,Jun
418,"Codebasics Live Q&A : 21 June, 2020",2020-06-21,2791,125,13,Jun
419,3 Books that will help you become successful,2020-06-18,2744,153,32,Jun
420,Data Science & Machine Learning Project - Part 8 Deployment & Exercise | Image Classification,2020-06-18,25492,689,72,Jun
421,Data Science & Machine Learning Project - Part 7 Build Website | Image Classification,2020-06-18,30882,279,35,Jun
422,Data Science & Machine Learning Project - Part 6 Flask Server | Image Classification,2020-06-16,31235,487,88,Jun
423,How B com graduate became a data analyst | Data analyst career transition,2020-06-15,164933,4466,335,Jun
424,Data Science & Machine Learning Project - Part 5 Training a Model | Image Classification,2020-06-15,31439,402,45,Jun
425,Data Science & Machine Learning Project - Part 4 Feature Engineering | Image Classification,2020-06-14,35236,494,57,Jun
426,"Data Science Interview Tips, Career Guidance With Ken Jee, Krish Naik, Data Professor & Codebasics",2020-06-14,7699,451,38,Jun
427,Data Science & Machine Learning Project - Part 3 Data Cleaning | Image Classification,2020-06-13,81912,1455,278,Jun
428,Data Science & Machine Learning Project - Part 2 Data Collection | Image Classification,2020-06-12,61638,782,46,Jun
429,Data Science & Machine Learning Project - Part 1 Introduction | Image Classification,2020-06-12,109294,1586,78,Jun
430,Is Becoming a Data Scientist Hard?,2020-06-11,51152,1905,105,Jun
431,Data Analyst Interview & Job Tips With A Data Analyst | Mechanical Engineer to Data Analyst,2020-06-09,62928,1510,117,Jun
432,Data Analyst Resume Review Session | Review 27 Real Resumes For Data Analyst Position,2020-05-31,63709,1587,84,May
433,Preparing Vegetable Garden For Summer 2020,2020-05-30,2869,135,59,May
434,Outlier detection and removal using IQR | Feature engineering tutorial python # 4,2020-05-29,63700,1274,122,May
435,"Outlier detection and removal: z score, standard deviation | Feature engineering tutorial python # 3",2020-05-28,90222,1824,117,May
436,"Career guidance, job tips with Amazon Engineer and Cox AI director Part 2",2020-05-26,1130,39,10,May
437,"Career guidance, job tips with Amazon Engineer and Cox AI director Part 1",2020-05-26,2435,95,17,May
438,Outlier detection and removal using percentile | Feature engineering tutorial python # 2,2020-05-26,112808,2015,127,May
439,What is feature engineering | Feature Engineering Tutorial Python # 1,2020-05-25,113519,1815,66,May
440,Binary Tree Part 2 | BST | Binary Search Tree - Data Structures & Algorithms Tutorials In Python #11,2020-05-21,64402,1304,182,May
441,Binary Tree Part 1 | BST | Binary Search Tree - Data Structures & Algorithms Tutorials In Python #10,2020-05-19,170961,2648,159,May
442,Silver Button & A Big Thanks!,2020-05-16,3242,318,112,May
443,How a mechanical engineer became a data analyst,2020-05-11,57261,1457,160,May
444,How to get programming experience without having a job | 5 Tips on getting real coding experience,2020-05-10,22297,895,54,May
445,Can anyone learn coding?,2020-05-06,22892,1042,124,May
446,How to learn anything effectively? | How to learn things effectively?,2020-04-30,153193,6761,182,Apr
447,Tree (General Tree) - Data Structures & Algorithms Tutorials In Python #9,2020-04-27,204784,3641,204,Apr
448,Tips to improve programming skills,2020-04-25,14834,680,55,Apr
449,Queue - Data Structures & Algorithms Tutorials In Python #8,2020-04-19,113922,1814,113,Apr
450,Coding Best Practices With Examples | Code Review Best Practices,2020-04-17,41108,777,46,Apr
451,100K subscribers. Thanks For Your Support & Love!,2020-04-15,1315,134,132,Apr
452,How to learn coding for beginners | Learn coding for free | learn coding from scratch,2020-04-05,411502,9812,530,Apr
453,Stack - Data Structures & Algorithms Tutorial In Python #7,2020-03-31,173307,3270,148,Mar
454,Data analyst interview tips | How to prepare for data analyst interview,2020-03-28,175186,5511,142,Mar
455,Collision Handling In Hash Table - Data Structures & Algorithms Tutorials In Python #6,2020-03-22,123388,2380,192,Mar
456,Hash Table - Data Structures & Algorithms Tutorials In Python #5,2020-03-22,271045,5405,211,Mar
457,Linked List - Data Structures & Algorithms Tutorials in Python #4,2020-03-16,528653,9944,524,Mar
458,Data Analyst Resume Examples | Data Analyst Resume Sample,2020-03-13,76166,1735,92,Mar
459,Arrays - Data Structures & Algorithms Tutorials in Python #3,2020-03-12,311175,5412,273,Mar
460,Data Structures & Algorithms Tutorial in Python #1 - What are data structures?,2020-03-07,645969,10813,244,Mar
461,How my health struggle inspired me to start YouTube Channel?,2020-03-06,13455,1103,298,Mar
462,Big O notation - Data Structures & Algorithms Tutorial #2 | Measuring time complexity,2020-03-03,526289,10688,405,Mar
463,Deploy machine learning model to production AWS (Amazon EC2 instance),2020-02-24,81854,1079,285,Feb
464,"Feb 22, 2020: Live Q&A With Codebasics",2020-02-22,2298,89,20,Feb
465,"Codebasics Live Q & A - Feb 19, 2020",2020-02-19,1673,83,26,Feb
466,How to switch career to data science from non computer science background,2020-02-16,142316,5733,454,Feb
467,What is ETL | What is Data Warehouse | OLTP vs OLAP,2020-02-15,347199,9286,360,Feb
468,Skills required for data analyst | How to learn data analyst skills for free,2020-02-08,539867,24326,2595,Feb
469,Data Analyst vs Data Engineer vs Data Scientist,2020-02-01,161866,4965,275,Feb
470,Data Scientist Salary: How much a data scientist earn,2020-01-04,19800,367,53,Jan
471,Machine Learning & Data Science Project - 4 : Outlier Removal (Real Estate Price Prediction Project),2020-01-01,123129,1346,194,Jan
472,Machine Learning & Data Science Project - 7 : Website or UI (Real Estate Price Prediction Project),2020-01-01,84746,1162,215,Jan
473,Machine Learning & Data Science Project - 6 : Python Flask Server (Real Estate Price Prediction),2020-01-01,121223,920,366,Jan
474,Machine Learning & Data Science Project - 5 : Model Building (Real Estate Price Prediction Project),2020-01-01,120214,1360,212,Jan
475,Machine Learning & Data Science Project - 3 : Feature Engineering (Real Estate Price Prediction),2020-01-01,121883,1264,92,Jan
476,Machine Learning & Data Science Project - 2 : Data Cleaning (Real Estate Price Prediction Project),2020-01-01,238485,2755,236,Jan
477,Machine Learning & Data Science Project - 1 : Introduction (Real Estate Price Prediction Project),2020-01-01,297036,3148,81,Jan
478,What is Data Science? | Free Data Science Course | Data Science for Beginners | codebasics,2019-12-10,448813,6062,335,Dec
479,Machine Learning Tutorial Python - 16: Hyper parameter Tuning (GridSearchCV),2019-11-23,229664,5373,333,Nov
480,Machine Learning Tutorial Python - 15:  Naive Bayes Classifier Algorithm Part 2,2019-11-17,90043,2147,305,Nov
481,Machine Learning Tutorial Python - 14: Naive Bayes Classifier Algorithm Part 1,2019-11-16,174867,2535,133,Nov
482,"Channel Update: Hindi Channel, Health, Deep Learning",2019-10-06,3817,100,51,Oct
483,50k Subscribers and Channel Update!,2019-06-22,8048,104,126,Jun
484,Drinking Raw Goat Milk In India,2019-05-10,10069,133,58,May
485,9. For loop [Python 3 Programming Tutorials],2019-05-08,144778,1636,68,May
486,21. Generators [Python 3 Programming Tutorials],2019-05-08,23352,294,9,May
487,1. Install python on windows [Python 3 Programming Tutorials],2019-05-08,209734,1701,47,May
488,12.1 - Install Python Module (using pip) [Python 3 Programming Tutorials],2019-05-08,146197,1007,65,May
489,13. Working With JSON [Python 3 Programming Tutorials],2019-05-08,101871,1355,40,May
490,24. Command line argument processing using argparse [Python 3 Programming Tutorials],2019-05-08,39810,649,29,May
491,10. Functions [Python 3 Programming Tutorials],2019-05-08,123467,1601,53,May
492,8. If Statement [Python 3 Programming Tutorials],2019-05-08,130167,1389,80,May
493,5. Lists [Python 3 Programming Tutorials],2019-05-08,153501,1869,61,May
494,7. Debug Python code using PyCharm [Python 3 Programming Tutorials],2019-05-08,130390,1359,46,May
495,"14. if __name__ == ""__main__"" [Python 3 Programming Tutorials]",2019-05-08,88006,1114,44,May
496,16. Class and Objects [Python 3 Programming Tutorials],2019-05-08,85700,1332,57,May
497,2. Variables in python [Python 3 Programming Tutorials],2019-05-08,238142,2084,42,May
498,12. Modules [Python 3 Programming Tutorials],2019-05-08,97662,1237,29,May
499,25. Decorators [Python 3 Programming Tutorials],2019-05-08,19941,364,42,May
500,11. Dictionaries and Tuples [Python 3 Programming Tutorials],2019-05-08,98380,1125,71,May
501,23. Sets and Frozen Sets [Python 3 Programming Tutorials],2019-05-08,19696,302,10,May
502,6. Install PyCharm on Windows [Python 3 Programming Tutorials],2019-05-08,121680,1096,34,May
503,19. Raise Exception And Finally [Python 3 Programming Tutorials],2019-05-08,26446,313,11,May
504,17. Inheritance [Python 3 Programming Tutorials],2019-05-08,40568,584,35,May
505,4. Strings [Python 3 Programming Tutorials],2019-05-08,161257,1711,69,May
506,20. Iterators [Python 3 Programming Tutorials],2019-05-08,27375,351,13,May
507,22. List Set Dict Comprehensions [Python 3 Programming Tutorials],2019-05-08,19274,284,5,May
508,15. Exception Handling [Python 3 Programming Tutorials],2019-05-08,67939,894,27,May
509,3. Numbers [Python 3 Programming Tutorials],2019-05-08,182132,2014,63,May
510,18. Multiple Inheritance [Python 3 Programming Tutorials],2019-05-08,25099,317,20,May
511,Machine Learning Tutorial Python - 13:  K Means Clustering Algorithm,2019-02-04,538199,10346,569,Feb
512,Machine Learning Tutorial Python 12 - K Fold Cross Validation,2019-01-26,301949,6671,561,Jan
513,Machine Learning Tutorial Python - 11  Random Forest,2018-12-23,291547,3803,333,Dec
514,Machine Learning Tutorial Python - 10  Support Vector Machine (SVM),2018-12-19,334834,4527,433,Dec
515,Machine Learning Tutorial Python - 9  Decision Tree,2018-11-17,414410,5731,897,Nov
516,Machine Learning Tutorial Python - 8  Logistic Regression (Multiclass Classification),2018-09-21,227058,3009,374,Sep
517,Machine Learning Tutorial Python - 8:  Logistic Regression (Binary Classification),2018-09-07,468950,7008,559,Sep
518,My Vegetable Garden,2018-09-02,3608,151,34,Sep
519,Machine Learning Tutorial Python - 7: Training and Testing Data,2018-08-09,408303,6303,336,Aug
520,Machine Learning Tutorial Python - 6: Dummy Variables & One Hot Encoding,2018-08-06,308232,4806,599,Aug
521,Machine Learning Tutorial Python - 5: Save Model Using Joblib And Pickle,2018-07-29,226040,3236,169,Jul
522,Machine Learning Tutorial Python - 4: Gradient Descent and Cost Function,2018-07-22,517564,7920,663,Jul
523,Machine Learning Tutorial Python - 3: Linear Regression Multiple Variables,2018-07-04,491246,6609,648,Jul
524,Machine Learning Tutorial Python - 2: Linear Regression Single Variable,2018-07-01,821363,10960,1199,Jul
525,Machine Learning Tutorial Python -1: What is Machine Learning?,2018-06-30,888033,10159,215,Jun
526,"Python Pandas Tutorial 14: Read Write Data From Database (read_sql, to_sql)",2018-05-05,178970,2270,163,May
527,Matplotlib Tutorial 7 - Save Chart To a File Using savefig,2018-01-01,46100,708,64,Jan
528,Matplotlib Tutorial 6 - Pie Chart,2017-12-10,76559,1082,40,Dec
529,Matplotlib Tutorial 5 - Histograms,2017-12-08,105268,1359,60,Dec
530,Matplotlib Tutorial 4 - Bar Chart,2017-12-06,133623,1606,92,Dec
531,"Matplotlib Tutorial 3 - Axes labels, Legend, Grid",2017-12-03,101871,1211,56,Dec
532,Matplotlib Tutorial 2 - format strings in plot function,2017-12-03,69743,900,38,Dec
533,Matplotlib Tutorial 1 - Introduction and Installation,2017-12-02,139841,1441,56,Dec
534,numpy tutorial: iterate numpy array using nditer | numpy nditer,2017-12-02,73180,1260,74,Dec
535,Pandas Time Series Analysis 6: Shifting and Lagging,2017-09-03,60416,789,54,Sep
536,Pandas Time Series Analysis 6: Timezone Handling,2017-08-27,32553,370,21,Aug
537,Pandas Time Series Analysis 5: Period and PeriodIndex,2017-08-14,47172,561,44,Aug
538,Pandas Time Series Analysis 4: to_datetime,2017-08-01,51968,592,31,Aug
539,Pandas Time Series Analysis 3: Holidays,2017-07-29,51715,714,60,Jul
540,Pandas Time Series Analysis Part 2: date_range,2017-07-22,79240,1052,59,Jul
541,Pandas Time Series Analysis Part 1: DatetimeIndex and Resample,2017-07-15,188084,2691,158,Jul
542,Python Pandas Tutorial 13. Crosstab,2017-07-06,94591,1790,62,Jul
543,Python Pandas Tutorial 12. Stack Unstack,2017-07-02,83277,1514,61,Jul
544,5000 subscribers: Recap on channel history and future tutorials,2017-06-27,1528,97,28,Jun
545,Python Pandas Tutorial 11. Reshape dataframe using melt,2017-06-24,101695,1491,67,Jun
546,Python Pandas Tutorial 10. Pivot table,2017-06-04,226562,3275,138,Jun
547,Python Pandas Tutorial 9. Merge Dataframes,2017-05-27,216983,3558,194,May
548,Why Should You Learn Python? | Complete python3 tutorials for beginners,2017-05-23,364663,7197,137,May
549,Python Pandas Tutorial 8. Concat Dataframes,2017-05-14,175578,2729,94,May
550,Python Pandas Tutorial 7. Group By (Split Apply Combine),2017-03-26,300913,4911,285,Mar
551,Python Pandas Tutorial 6. Handle Missing Data: replace function,2017-02-26,179515,3696,153,Feb
552,"Python Pandas Tutorial 5: Handle Missing Data: fillna, dropna, interpolate",2017-02-17,351117,6590,285,Feb
553,Python Pandas Tutorial 4: Read Write Excel CSV File,2017-02-04,630684,8403,504,Feb
554,Python Pandas Tutorial 3: Different Ways Of Creating DataFrame,2017-01-31,284836,4332,92,Jan
555,Python Pandas Tutorial 2: Dataframe Basics,2017-01-28,694686,10584,436,Jan
556,Python Pandas Tutorial 1. What is Pandas python? Introduction and Installation,2017-01-21,1001647,11197,370,Jan
557,Jupyter Notebook Tutorial / Ipython Notebook Tutorial,2017-01-15,112936,1703,141,Jan
558,What is Anaconda? Install Anaconda On Windows.,2017-01-14,161333,1586,65,Jan
559,What is Jupyter Notebook? | Jupyter Notebook Tutorial in Python,2017-01-09,356912,4435,122,Jan
560,"numpy tutorial - slicing/stacking arrays, indexing with boolean arrays",2016-12-28,134829,2876,91,Dec
561,numpy tutorial - basic array operations,2016-12-26,222670,2761,86,Dec
562,numpy tutorial - introduction | numpy array vs python list,2016-12-25,266185,2265,102,Dec
563,Python unit testing - pytest parameters,2016-12-23,34661,371,32,Dec
564,Python Decorators Tutorial,2016-12-19,97697,1995,153,Dec
565,Python unit testing - pytest fixtures,2016-12-17,86957,1028,50,Dec
566,What is memory leak?,2016-12-13,72262,1292,53,Dec
567,Python unit testing - skip/selectively run tests in pytest,2016-12-10,39817,350,25,Dec
568,Python unit testing - pytest introduction,2016-12-04,156969,972,68,Dec
569,What is code?,2016-12-03,35262,458,25,Dec
570,Python Tutorial - 31. Multiprocessing Pool (Map Reduce),2016-10-15,88800,1646,144,Oct
571,Python Tutorial - 30. Multiprocessing Lock,2016-09-29,56135,841,51,Sep
572,Python Tutorial - 29. Sharing Data Between Processes Using Multiprocessing Queue,2016-09-24,84230,1128,65,Sep
573,Git Tutorial 8 - .gitignore file,2016-09-18,263754,2690,122,Sep
574,Python Tutorial - 28. Sharing Data Between Processes Using Array and Value,2016-09-17,79956,912,55,Sep
